Institution Name,Grand total (EF2020  All students total),Grand total (EF2020  All students  Undergraduate total),Grand total (EF2020  All students  Graduate and First professional),Grand total (EF2019_RV  All students total),Grand total (EF2019_RV  All students  Undergraduate total),Grand total (EF2019_RV  All students  Graduate and First professional),Grand total (EF2018_RV  All students total),Grand total (EF2018_RV  All students  Undergraduate total),Grand total (EF2018_RV  All students  Graduate and First professional),Grand total (EF2017_RV  All students total),Grand total (EF2017_RV  All students  Undergraduate total),Grand total (EF2017_RV  All students  Graduate and First professional),Grand total (EF2016_RV  All students total),Grand total (EF2016_RV  All students  Undergraduate total),Grand total (EF2016_RV  All students  Graduate and First professional),Grand total (EF2015_RV  All students total),Grand total (EF2015_RV  All students  Undergraduate total),Grand total (EF2015_RV  All students  Graduate and First professional),Grand total (EF2014_RV  All students total),Grand total (EF2014_RV  All students  Undergraduate total),Grand total (EF2014_RV  All students  Graduate and First professional),Grand total (EF2013_RV  All students total),Grand total (EF2013_RV  All students  Undergraduate total),Grand total (EF2013_RV  All students  Graduate and First professional),Grand total (EF2012_RV  All students total),Grand total (EF2012_RV  All students  Undergraduate total),Grand total (EF2012_RV  All students  Graduate and First professional),Grand total (EF2011_RV  All students total),Grand total (EF2011_RV  All students  Undergraduate total),Grand total (EF2011_RV  All students  Graduate and First professional),Grand total (EF2010_RV  All students total),Grand total (EF2010_RV  All students  Undergraduate total),Grand total (EF2010_RV  All students  Graduate and First professional),Grand total (EF2009_RV  All students total),Grand total (EF2009_RV  All students  Undergraduate total),Grand total (EF2009_RV  All students  Graduate and First professional),Grand total (EF2008_RV  All students total),Grand total (EF2008_RV  All students  Undergraduate total),Grand total (EF2008_RV  All students  Graduate and First professional),Grand total (EF2007_RV  All students total),Grand total (EF2007_RV  All students  Undergraduate total),Grand total (EF2007_RV  All students  Graduate and First professional),Grand total (EF2006_RV  All students total),Grand total (EF2006_RV  All students  Undergraduate total),Grand total (EF2006_RV  All students  Graduate and First professional),Grand total (EF2005_RV  All students total),Grand total (EF2005_RV  All students  Undergraduate total),Grand total (EF2005_RV  All students  Graduate and First professional),Grand total (EF2004_RV  All students total),Grand total (EF2004_RV  All students  Undergraduate total),Grand total (EF2004_RV  All students  Graduate and First professional),Grand total (EF2003  All students total),Grand total (EF2003  All students  Undergraduate total),Grand total (EF2003  All students  Graduate and First professional),Grand total (EF2002  All students total),Grand total (EF2002  All students  Undergraduate total),Grand total (EF2002  All students  Graduate and First professional),Grand total (EF2001  All students total),Grand total (EF2001  All students  Undergraduate total),Grand total (EF2001  All students  Graduate and First professional),Grand total (EF2000  All students total),Grand total (EF2000  All students  Undergraduate total),Grand total (EF2000  All students  Graduate and First professional)
Central Michigan University,17311,13031,4280,19362,14627,4735,21622,16387,5235,23257,17804,5453,25986,19877,6109,26825,20415,6410,26879,20671,6208,26841,20534,6307,27626,21332,6294,28194,21698,6496,28292,21633,6659,27247,20581,6666,27225,20540,6685,26611,20078,6533,26710,20129,6581,27221,19997,7224,27683,19916,7767,27758,19642,8116,27919,19696,8223,27797,19530,8267,26845,18620,8225
Eastern Michigan University,16294,13572,2722,17784,14872,2912,18808,15730,3078,20525,17217,3308,21246,17682,3564,21824,17951,3873,22401,18340,4061,23447,19189,4258,23518,18927,4591,23419,18621,4798,23565,18554,5011,22893,17780,5113,22032,17283,4749,22837,17962,4875,22950,18245,4705,23486,18666,4820,23862,19000,4862,24419,19668,4751,24532,18851,5681,24287,18660,5627,23561,18189,5372
Ferris State University,11165,9929,1236,12472,11184,1288,13250,11896,1354,13798,12512,1286,14187,12866,1321,14715,13348,1367,14600,13373,1227,14707,13477,1230,14533,13271,1262,14560,13357,1203,14381,13168,1213,13865,12595,1270,13532,12250,1282,13087,11839,1248,12574,11413,1161,12547,11437,1110,11803,10711,1092,11821,10767,1054,11074,10176,898,10930,10092,838,9847,9235,612
Grand Valley State University,23350,20405,2945,24033,21112,2921,24677,21680,2997,25049,21937,3112,25460,22209,3251,25325,21972,3353,25094,21636,3458,24477,21235,3242,24654,21317,3337,24662,21236,3426,24541,20986,3555,24408,20850,3558,23892,20416,3476,23464,19806,3658,23295,19578,3717,22565,18903,3662,22063,18393,3670,21429,17807,3622,20407,16875,3532,19762,16385,3377,18569,15211,3358
Lake Superior State University,1909,1909,,1984,1984,,1991,1991,,1963,1963,,2099,2099,,2249,2249,,2407,2406,1,2435,2429,6,2590,2582,8,2805,2727,78,2662,2588,74,2588,2568,20,2575,2557,18,2819,2799,20,2897,2889,8,2919,2916,3,2888,2888,,3256,3256,,3321,3314,7,3142,3110,32,3118,3068,50
Michigan State University,49695,38491,11204,49809,39176,10633,50351,39423,10928,50019,38996,11023,50340,39090,11250,50538,39143,11395,50081,38786,11295,49317,37985,11332,48783,37354,11429,47825,36557,11268,46985,35921,11064,47071,36290,10781,46510,36205,10305,46045,36072,9973,45520,35821,9699,45166,35678,9488,44836,35408,9428,44542,34853,9689,44937,35197,9740,44227,34874,9353,43366,34342,9024
Michigan Technological University,6873,5640,1233,7027,5750,1277,7172,5797,1375,7292,5890,1402,7252,5811,1441,7218,5697,1521,7099,5658,1441,6975,5617,1358,6933,5611,1322,7022,5719,1303,6971,5715,1256,7136,5930,1206,7009,6025,984,6744,5832,912,6546,5630,916,6506,5611,895,6527,5696,831,6550,5750,800,6619,5909,710,6603,5931,672,6336,5666,670
Northern Michigan University,7368,6734,634,7732,7136,596,7595,7089,506,7612,7018,594,7865,7168,697,8303,7507,796,8781,8001,780,8918,8221,697,9159,8474,685,9405,8712,693,9417,8719,698,9428,8684,744,9347,8598,749,9358,8634,724,9689,8880,809,9500,8698,802,9331,8603,728,9326,8536,790,9016,8113,903,8577,7724,853,8427,7575,852
Oakland University,18552,15100,3452,19013,15543,3470,19309,15799,3510,19333,15901,3432,20012,16568,3444,20261,16793,3468,20519,16935,3584,20169,16594,3575,19740,16190,3550,19379,15838,3541,19053,15530,3523,18918,15273,3645,18175,14397,3778,18081,14089,3992,17737,13701,4036,17339,13448,3891,16902,13115,3787,16575,12958,3617,16059,12634,3425,15875,12529,3346,15235,12002,3233
Saginaw Valley State University,8028,7203,825,8251,7476,775,8515,7719,796,8617,7846,771,9105,8335,770,9633,8786,847,9829,8930,899,10245,9168,1077,10552,9310,1242,10790,9364,1426,10656,9116,1540,10498,8800,1698,9837,8190,1647,9662,7984,1678,9543,7933,1610,9569,7931,1638,9448,7789,1659,9178,7590,1588,9189,7506,1683,8936,7320,1616,8622,7059,1563
